Lines,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,SPAD2,SPAD2_Date,ST,StPu,StPi,Kinki,Prolif,NBR
B73,6/29/23,6/28/23,185,45,2,9.1,68.5,12.5,61.1,7/19/23,45.3,8/2/23,N,N,N,,,1
B73,6/30/23,6/27/23,193,59,2,8.3,66.2,12.5,60.3,7/19/23,43.3,8/3/23,N,N,N,,,1
B73,7/2/23,6/30/23,178,61,3,8.3,60,12.3,63.2,7/19/23,49.4,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,190,75,3,8.3,60.6,13.6,61,7/19/23,29,8/5/23,N,N,N,,,2
B73,7/2/23,6/30/23,183,57,2,8,57.5,13.4,55.5,7/19/23,33.6,8/5/23,N,N,N,,,1
B73,6/30/23,6/28/23,195,70,2,8.6,66.5,10.5,59.6,7/19/23,36.6,8/3/23,N,N,N,,,1
B73,7/2/23,6/30/23,180,65,2,8.1,61.5,12.9,62.8,7/19/23,44.3,8/5/23,N,N,N,,,1
B73,6/30/23,6/28/23,188,67,2,7.9,60.8,13.1,64.9,7/19/23,26.2,8/3/23,N,N,N,,,1
B73,6/28/23,6/28/23,178,55,2,7.6,56,13.6,56.4,7/19/23,20.4,8/2/23,N,N,N,,,0
B73,6/30/23,6/30/23,182,70,2,7.3,57,13.4,59.5,7/20/23,44.1,8/3/23,N,N,N,,,2
B73,7/1/23,6/30/23,181,74,2,8.4,60.1,13.5,62.3,7/20/23,52.8,8/3/23,N,N,N,,,2
B73,7/2/23,7/2/23,184,72,2,7.1,56.9,13.4,55.7,7/20/23,46.8,8/5/23,N,N,N,,,1
B73,6/30/23,6/28/23,192,64,3,7.9,56,13.5,55.8,7/20/23,9.1,8/3/23,N,N,N,,,1
B73,7/3/23,7/2/23,180,55,2,7.7,53,12.5,51.2,7/20/23,32.5,8/5/23,N,N,N,,,1
B73,6/30/23,6/30/23,184,72,2,7,54.7,13.5,59.3,7/20/23,45.9,8/3/23,N,N,N,,,1
B73,7/3/23,7/3/23,191,51,2,8.2,63.1,13.1,57.2,7/20/23,46.7,8/5/23,N,N,N,,,1
B73,7/5/23,7/3/23,194,75,2,7.5,64.4,13,59.1,7/20/23,39.6,8/10/23,N,N,N,,,2
B73,7/7/23,7/5/23,167,55,2,8.1,62,13.2,59.9,7/20/23,5.7,8/10/23,N,N,N,,,1
B73,7/3/23,7/3/23,186,60,1,6.8,53.6,13.3,48.6,7/20/23,30.4,8/5/23,N,N,N,,,1
B73,7/3/23,7/2/23,180,70,2,7.4,59.5,13.3,57.1,7/20/23,33.9,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,191,75,2,7.3,55,13,55.9,7/20/23,38.9,8/5/23,N,N,N,,,1
B73,7/1/23,6/28/23,188,65,1,8.8,65.5,13,60.3,7/20/23,41.9,8/3/23,N,N,N,,,1
B73,7/1/23,6/30/23,179,57,2,7.5,61,12.6,60.2,7/20/23,36.2,8/3/23,N,N,N,,,1
B73,7/5/23,7/2/23,191,63,2,8.3,69.5,13,62.4,7/20/23,36.9,8/10/23,N,N,N,,,2
B73,7/1/23,6/28/23,178,53,2,8.2,59.9,13.9,61.8,7/20/23,46,8/3/23,N,N,N,,,1
B73,7/2/23,6/30/23,176,70,3,6.6,51.1,13.8,58.9,7/20/23,9.8,8/5/23,N,N,N,,,1
B73,7/2/23,6/29/23,191,70,2,7.8,56.5,13.9,61.3,7/20/23,42.4,8/5/23,N,N,N,,,2
B73,6/30/23,6/28/23,173,51,2,7.6,57.8,12.9,55.8,7/20/23,,,N,N,N,,,1
B73,7/3/23,6/30/23,177,55,2,7.7,64.2,12.9,56.7,7/20/23,,,N,N,N,,,1
B73,6/29/23,6/26/23,175,53,2,7.7,61.6,13,56.9,7/20/23,,,N,N,N,,,1
B73,7/8/23,7/6/23,190,60,2,8.6,72,13.4,56.5,7/20/23,,,N,N,N,,,1
B73,7/4/23,7/2/23,191,61,2,8.2,63.1,13.5,59.3,7/20/23,,,N,N,N,,,2
B73,7/3/23,6/30/23,172,65,2,7.5,59.1,13.7,53.1,7/20/23,,,N,N,N,,,1
B73,7/4/23,7/2/23,176,51,2,8.1,56.8,13,54.1,7/20/23,,,N,N,N,,,1
B73,7/3/23,6/30/23,161,53,2,6.4,47.6,12.8,47.5,7/20/23,,,N,N,N,,,1
B73,7/2/23,6/30/23,166,51,1,7.5,57.5,12.5,54.3,7/20/23,,,N,N,N,,,1
B73,7/2/23,6/28/23,183,60,2,9,69,13.3,58.6,7/20/23,,,N,N,N,,,2
B73,7/3/23,6/30/23,176,65,2,7.4,59,13,56.6,7/20/23,,,N,N,N,,,1
B73,6/27/23,6/26/23,177,50,3,8.6,61.1,13,57.7,7/20/23,,,N,N,N,,,2
B73,7/2/23,6/30/23,174,62,1,7.9,56,13.4,,,,,N,N,N,,,1
B73,7/3/23,6/29/23,174,64,2,7.9,57.2,13,,,,,N,N,N,,,1
B73,7/2/23,6/29/23,166,52,2,7.2,49,12.2,,,,,N,N,N,,,1
B73,6/30/23,6/27/23,168,60,2,7.8,58.8,12.5,,,,,N,N,N,,,1
B73,7/2/23,6/30/23,177,64,2,7.5,57.2,11.8,,,,,N,N,N,,,2
B73,7/4/23,7/1/23,160,54,2,7,54,13,,,,,N,N,N,,,1
B73,7/1/23,6/27/23,167,59,2,8.5,55.4,13,,,,,N,N,N,,,1
B73,6/28/23,6/26/23,133,40,4,5,,12.3,,,,,N,N,N,,,0
B73,6/27/23,6/26/23,180,60,2,8,61.2,13.8,,,,,N,N,N,,,1
B73,6/29/23,6/27/23,186,63,1,8,59.8,12.8,,,,,N,N,N,,,1
B73,7/2/23,6/27/23,158,56,2,7.2,54.5,12,,,,,N,N,N,,,1
B73,7/1/23,6/26/23,164,50,2,7.4,52,13.5,,,,,N,N,N,,,1
B73,7/5/23,7/1/23,143,37,2,6,45,12.4,,,,,N,N,N,,,1
B73,6/26/23,6/27/23,168,47,2,6.5,49.7,11.5,,,,,N,N,N,,,1
B73,6/30/23,6/27/23,178,54,2,7.4,,13,,,,,N,N,N,,,1
